Step,Completed Actions,Points,Descriptions,Link
Carpool  to work,Carpooled to work,2,"Carpool to work with colleagues, neighbors, or friends for two weeks.  Reduce your carbon footprint, decrease traffic, and take advantage of being able to use the carpool lane!",http://www.consumerenergycenter.org/transportation/consumer_tips/
Purchase a fuel-efficient car,Purchased a fuel-efficient car,5,"When you have to buy a new car, research the fuel-economy of different car models.  Buying a more fuel-efficient car will decrease your fuel costs.  Make sure to check out hybrid, plug-in hybrid, and electric vehicles.",http://www.consumerenergycenter.org/transportation/consumer_tips/
Take public transit to work,Took public transit ,2,"Take public transit to work (train, bus) for a month. Buy a monthly pass to reduce the train/bus fare.  Enjoy not being stuck in traffic!",http://www.consumerenergycenter.org/transportation/consumer_tips/
Bike to work,Biked to work,3,"Bike to work for two weeks.  If you live too far away from work, take public transit and consider biking to/from the train or bus station.  ",http://www.consumerenergycenter.org/transportation/consumer_tips/
Use optimal driving habits,Improved driving habits,1,"Research shows that fuel is wasted when drivers floor it. Research shows that by reducing your speed from 75 mph to 65 mph on the highway, you can reduce gas consumption by 13%.  ",http://www.consumerenergycenter.org/transportation/consumer_tips/
Reduce car's energy usage,Reduced car's energy usage,1,"Instead of using the AC, using flow-through ventilation or rolling down the windows will save fuel and decrease your fuel cost by 13%.",http://www.consumerenergycenter.org/transportation/consumer_tips/
Take your car in for vehicle maintenance,Went to vehicle maintenance,2,Make sure your tires are properly inflated and aligned to reduce gas consumption.  Check on your air filters as well!,http://www.consumerenergycenter.org/transportation/consumer_tips/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
